title,author_name,date,likes,comments,categories_list,website_name
Taming the Mammoth: Why You Should Stop Caring What Other People Think ,Tim Urban,6/13/14,92000,232,"[Pyschology, Selfhelp, Society]",Wait But Why?
Odd Things in Odd Places: Intro,Tim Urban,N/A,583,52,[Random],Wait But Why?
Russia: What You Didn't Know You Don't Know ,Tim Urban,7/11/14,2700,80,"[Traveling, Russia]",Wait But Why?
"Japan, and How I Failed to Figure it Out",Tim Urban,N/A,5700,127,"[Traveling, Japan]",Wait But Why?
19 Things I Learned in Nigeria ,Tim Urban,N/A,2900,321,"[Traveling, Nigeria]",Wait But Why?
From Muhammed to ISIS: Iraq's Full Story,Tim Urban,9/12/14,67000,282,"[Traveling, Iraq]",Wait But Why?
But What About Greenland?,Tim Urban,N/A,2700,98,"[Traveling, Greenland]",Wait But Why?
The Genie Question,Tim Urban,N/A,1600,87,[Traveling],Wait But Why?
Odd Things in Odd Places - All 7 Travel Posts ,Tim Urban,9/26/14,100,5,[Random],Wait But Why?
How Religion Got in the Way,Tim Urban,10/10/14,6400,340,"[Atheism, Religion, Spirituality]",Wait But Why?
Religion for the Nonreligious,Tim Urban,10/19/14,26000,592,"[Pyschology, Selfhelp]",Wait But Why?
The Dark Secrets of the Bird World ,Tim Urban,10/31/14,7900,74,"[Animals, Comedy]",Wait But Why?
"From 1 to 1,000,000",Tim Urban,11/14/14,2000,102,[Math],Wait But Why?
"From 1,000,000 to Graham's Number ",Tim Urban,11/20/14,9700,232,[Math],Wait But Why?
10 Types of Odd Friendships You're Probably Part Of,Tim Urban,11/8/14,56000,234,"[Comedy, Society]",Wait But Why?
What Makes You You?,Tim Urban,12/12/14,15000,474,"[Science, Philosophy, Tech]",Wait But Why?
What Could You Buy With $241 Trillion?,Tim Urban,5/25/14,6500,115,"[Math, Money, Science]",Wait But Why?
Why Soprts Fans are Sports Fans,Tim Urban,5/18/14,4500,58,"[Pyschology, Society, Comedy, Sports]",Wait But Why?
Why is My Laptop On?,Tim Urban,5/12/14,1100,73,"[Comedy, Science]",Wait But Why?
The American Presidents-Washington To Lincoln,Tim Urban,2/9/14,4200,106,[History],Wait But Why?
How To Pick Your Life Partner - Part 2,Tim Urban,2/13/14,63000,155,"[Pyschology, Selfhelp, Relationships]",Wait But Why?
How To Pick Your Life Partner - Part 1,Tim Urban,2/12/14,110000,202,"[Pyschology, Selfhelp, Relationships]",Wait But Why?
Why Bugs Ruin Everything,Tim Urban,2/4/14,8000,303,"[Animals, Comedy]",Wait But Why?
"Your Family: Past, Present, Future",Tim Urban,1/28/14,41000,154,"[Science, History, Genealogy]",Wait But Why?
